"","Myrsine coriacea","Ficus luschnatiana","Coussapoa microcarpa","Myrsine lancifolia","Cecropia glaziovi","Cupania vernalis","Miconia pusilliflora","Trema micrantha","Symplocos glanduloso-marginata","Miconia budlejoides","Miconia valtherii","Leandra dasytricha","Euterpe edulis","Myrcia fallax","Alchornea triplinervia","Rubus rosaefolius","Xylopia brasiliensis","Miconia racemifera","Schinus terebinthifolius","Gomidesia schaueriana","Miconia latecrenata","Ossaea amygdaloides","Allophylus edulis","Miconia theaezans","Myrcia grandiflora","Nectandra membranacea","Rubus urticaefolius","Struthanthus sp1 M_SD_022","Virola bicuhyba","Ilex brevicuspis","Sapium glandulatum","Tetrorchidium rubrivenium","Clusia criuva","Marcgravia polyantha","Matayba guianensis","Psychotria vellosiana","Amaioua intermedia","Ilex microdonta","Leandra pilonensis","Ocotea puberula","Persea pyrifolia","Psychotria longipes","Struthanthus vulgaris","Alchornea glandulosa","Fuchsia regia","Maytenus robustus","Miconia cinnamomifolia","Piper dilatatum","Psidium cattleianum","Psychotria suterella","Vassobia breviflora","Casearia sylvestris ","Hieronyma alchorneoides","Leandra australis","Marlierea reitzii","Miconia brasiliensis","Miconia discolor","Miconia inconspicua","Piper sp1 M_SD_022","Solanum variabile","Tournefortia paniculata","Didymopanax angustissimum","Ficus sp1 M_SD_022","Gomidesia affinis","Guapira opposita","Leandra laevigata","Leandra melastomatoides","Leandra refracta","Myrcia rufula","Myrcia sp1 M_SD_022","Myrsine gardneriana","Myrsine venesa","Ocotea bicolor","Phytolacca dioica","Piper corintoanum","Protium heptaphyllum","Psidium guajava","Rudgea jasminoides","Solanum inodorum","Solanum scuticum","Solanum sp1 M_SD_022","Leandra sabiaensis","Leandra sp1 M_SD_022","Miconia cabucu","Miconia tristis","Mollinedia boracensis","Ocotea teleiandra","Psychotria leiocarpa","Rhipsalis campos-portuana","Rhipsalis teres","Solanum megalochiton","Solanum sp2 M_SD_022","Struthanthus concinus","Urera baccifera","Agonandra sp1 M_SD_022","Casearia decandra","Cordia corymbosa","Eugenia melanogyna","Ficus sp2 M_SD_022","Geonoma gamiova","Inga marginata","Leandra regnellii","Miconia sellowiana","Miconia sp1 M_SD_022","Myrcia sp2 M_SD_022","Myrsine umbellata","Nectandra cuspidata","Neomitranthes glomerata","Ocotea spixiana","Paullinia uloptera","Philodendron appendiculatum","Piper aduncum","Posoqueria latifolia","Psidium sp1 M_SD_022","Psychotria forsteronioides","Rubus brasiliensis","Siphoneugena densiflora","Solanum paraense","Solanum rufescens","Solanum subsylvestris","Solanum swartzianum","Symplocos variabilis","Anthurium crassipes","Aureliana fasciculata","Bromeliacea sp1 M_SD_022","Bromeliacea sp2 M_SD_022","Campomanesia guaviroba","Campomanesia xanthocarpa","Coccosypselum hasserianum","Coccosypselum krauseanum","Coussarea contracta","Drimys brasiliensis","Drimys winterii","Eugenia mosenii","Geonoma sp1 M_SD_022","Hedychium coronarium","Ixora heterodoxa","Miconia cubatanensis","Miconia doriana","Mollinedia floribunda","Myrcia sp3 M_SD_022","Nectandra grandiflora","Ocotea aeciphila","Ocotea odorifera","Ocotea sp1 M_SD_022","Ouratea vaccinioides","Passiflora sp1 M_SD_022","Psittacanthus sp1 M_SD_022","Solanum americanum","Solanum sancta-catharinae","Symplocos tetrandra","Unidentified sp1 M_SD_022","Unidentified sp2 M_SD_022","Abuta sellowiana","Allibertia mycifolia","Andira pisonis","Anthurium scandens ","Aureliana sp1 M_SD_022","Cabralea canjerana","Campomanesia neriiflora","Carica papaya","Cayaponia sp1 M_SD_022","Celtis iguaneae","Codonanthe cordifolia","Cryptocarya moschata","Cucumis sp1 M_SD_022","Cybianthus peruvianus","Dichorisandra thyrsiflora","Eugenia sp1 M_SD_022","Galium hypocarpium","Gomidesia fenzliana","Guarea macrophylla","Guatteria dusenii","Heteropsis rigidifolia ","Heteropsis sp1 M_SD_022","Inga sessilis","Lantana camara","Leandra barbinervis","Leandra xanthocona","Maytenus litoralis","Miconia mistiflora","Mollinedia uleana","Nectandra mollis","Ocotea corymbosa","Ocotea pulchella","Oreopanax sp1 M_SD_022","Otonia sp1 M_SD_022","Peschiera catharinensis","Phoradendron crassifolium","Poacea sp1 M_SD_022","Psittacanthus sp2 M_SD_022","Rhipsalis eliptica","Rhipsalis paradoxa","Rhipsalis sp1 M_SD_022","Rollinia emarginata","Rollinia sericea","Smilax elastica","Solanum argenteum","Solanum bullatum","Solanum pseudoquina","Strychnos brasiliensis","Syagrus romazoffianum","Tapirira guianensis","Unidentified sp3 M_SD_022","Unidentified sp4 M_SD_022","Vismia sp1 M_SD_022","Zanthoxylum riedelianum"
"Chiroxiphia caudata",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carpornis cucullatus",1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Turdus albicollis",1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tachyphonus coronatus",1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turdus rufiventris",1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Penelope obscura",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Trichothraupis melanops",0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thraupis cyanoptera",1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euphonia pectoralis",1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tangara cyanocephala",1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
